Update  220/2441 | Step  450,560 | Episodes 8210 | FPS   2328 | Mean reward    -22.4 | LR 2.73e-04 | Time    194s
Update  225/2441 | Step  460,800 | Episodes 8301 | FPS   2329 | Mean reward    -35.2 | LR 2.72e-04 | Time    198s
Update  230/2441 | Step  471,040 | Episodes 8434 | FPS   2328 | Mean reward    -17.6 | LR 2.72e-04 | Time    202s
Update  235/2441 | Step  481,280 | Episodes 8602 | FPS   2329 | Mean reward    -10.0 | LR 2.71e-04 | Time    207s
Update  240/2441 | Step  491,520 | Episodes 8677 | FPS   2329 | Mean reward     -5.3 | LR 2.71e-04 | Time    211s
Update  245/2441 | Step  501,760 | Episodes 8733 | FPS   2330 | Mean reward    -22.0 | LR 2.70e-04 | Time    215s
Update  250/2441 | Step  512,000 | Episodes 8806 | FPS   2330 | Mean reward     -6.4 | LR 2.69e-04 | Time    220s
   ->  Model saved to checkpoints/ant_ppo_512000.pt
Update  255/2441 | Step  522,240 | Episodes 8907 | FPS   2330 | Mean reward     -5.4 | LR 2.69e-04 | Time    224s
Update  260/2441 | Step  532,480 | Episodes 8988 | FPS   2330 | Mean reward    -11.7 | LR 2.68e-04 | Time    229s
Update  265/2441 | Step  542,720 | Episodes 9062 | FPS   2330 | Mean reward    -18.2 | LR 2.67e-04 | Time    233s
Update  270/2441 | Step  552,960 | Episodes 9125 | FPS   2330 | Mean reward     -8.5 | LR 2.67e-04 | Time    237s
Update  275/2441 | Step  563,200 | Episodes 9197 | FPS   2330 | Mean reward    -12.9 | LR 2.66e-04 | Time    242s
Update  280/2441 | Step  573,440 | Episodes 9265 | FPS   2331 | Mean reward    -26.9 | LR 2.66e-04 | Time    246s
Update  285/2441 | Step  583,680 | Episodes 9298 | FPS   2331 | Mean reward      8.5 | LR 2.65e-04 | Time    250s
Update  290/2441 | Step  593,920 | Episodes 9367 | FPS   2331 | Mean reward     11.9 | LR 2.64e-04 | Time    255s
Update  295/2441 | Step  604,160 | Episodes 9424 | FPS   2331 | Mean reward     17.5 | LR 2.64e-04 | Time    259s
Update  300/2441 | Step  614,400 | Episodes 9465 | FPS   2332 | Mean reward     21.1 | LR 2.63e-04 | Time    264s
   ->  Model saved to checkpoints/ant_ppo_614400.pt
Update  305/2441 | Step  624,640 | Episodes 9520 | FPS   2331 | Mean reward     26.9 | LR 2.63e-04 | Time    268s
Update  310/2441 | Step  634,880 | Episodes 9580 | FPS   2331 | Mean reward     23.5 | LR 2.62e-04 | Time    272s
